Name;Kills;Deaths;Kill / Death;Kill / Round;Rounds with kills;Kill - Death difference;Total opening kills;Total opening deaths;Opening kill ratio;Opening kill rating;Team win percent after first kill;First kill in won rounds;0 kill rounds;1 kill rounds;2 kill rounds;3 kill rounds;4 kill rounds;5 kill rounds;Rifle kills;Sniper kills;SMG kills;Pistol kills;Grenade;Other;Role;Team
acoR;3121;2804;1.11;0.68;2119;317;478;360;1.33;1.06;0.774;0.159;2474;1354;568;159;36;2;879;1631;78;483;51;23;AWP;GamerLegion
adamS;5244;5072;1.03;0.68;3595;172;731;703;1.04;0.99;0.731;0.138;4168;2337;929;271;54;4;4133;38;293;701;75;24;Lurker;Movistar Riders
advent;1713;2235;0.77;0.51;1246;-522;221;293;0.75;0.85;0.765;0.094;2146;869;295;75;6;1;1314;9;108;258;27;14;IGL;TYLOO
afro;3216;2642;1.22;0.76;2097;574;583;390;1.49;1.2;0.688;0.192;2121;1270;584;197;43;3;835;1825;26;498;35;16;AWP;fnatic
Aida;473;518;0.91;0.62;320;-45;57;76;0.75;0.88;0.649;0.095;440;207;79;28;6;0;365;2;35;63;7;2;IGL;BIG EQUIPA
Aleksib;2430;2760;0.88;0.57;1718;-330;325;412;0.79;0.89;0.7290000000000001;0.109;2549;1162;426;107;20;3;1776;34;138;412;58;21;IGL;Natus Vincere
alex;2634;2647;1.0;0.66;1823;-13;382;361;1.06;0.99;0.723;0.14400000000000002;2183;1190;478;134;19;2;2028;45;123;394;47;16;IGL;Movistar Riders
aliStair;1583;1539;1.03;0.63;1098;44;262;253;1.04;1.02;0.733;0.151;1402;728;275;77;16;2;344;883;42;301;14;10;AWP;Grayhound
apEX;2184;2594;0.84;0.55;1590;-410;321;422;0.76;0.9;0.804;0.12;2351;1116;369;91;13;1;1677;20;126;297;61;10;IGL;Vitality
arT;1847;2040;0.91;0.63;1288;-193;421;483;0.87;1.11;0.691;0.193;1634;862;316;90;17;3;1164;272;153;224;20;25;Entry;FURIA
ArtFr0st;4117;3001;1.37;0.73;2835;1116;656;292;2.25;1.16;0.7879999999999999;0.168;2834;1875;684;236;34;6;688;2822;77;476;56;16;AWP;Spirit
autimatic;2577;2557;1.01;0.69;1731;20;473;455;1.04;1.1;0.7190000000000001;0.187;2000;1079;490;133;26;3;2037;63;66;376;36;9;Rifler;Evil Geniuses
Ax1Le;3069;2678;1.15;0.73;2043;391;468;407;1.15;1.06;0.759;0.16;2143;1281;543;177;39;3;2462;47;98;411;56;14;Rifler;Cloud9
b0RUP;5009;5163;0.97;0.65;3477;-154;752;745;1.01;0.99;0.727;0.138;4208;2327;831;261;53;5;3940;18;251;691;95;47;Support;Astralis
b1t;2537;2348;1.08;0.67;1740;189;394;349;1.13;1.04;0.716;0.146;2022;1124;459;134;22;1;1925;37;162;379;19;32;Support;Natus Vincere
birdfromsky;4398;5411;0.81;0.57;3177;-1013;764;1010;0.76;0.94;0.728;0.141;4563;2217;735;190;34;1;2984;126;560;571;105;79;IGL;00NATION
blameF;3681;2809;1.31;0.78;2432;872;642;359;1.79;1.22;0.7879999999999999;0.203;2309;1523;639;214;42;14;2939;21;199;465;63;19;IGL;Astralis
