Name,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other
acoR,3121,2804,1.11,0.68,2119,317,478,360,1.33,1.06,77.4%,15.9%,2474,1354,568,159,36,2,879,1631,78,483,51,23
adamS,5244,5072,1.03,0.68,3595,172,731,703,1.04,0.99,73.1%,13.8%,4168,2337,929,271,54,4,4133,38,293,701,75,24
advent,1713,2235,0.77,0.51,1246,-522,221,293,0.75,0.85,76.5%,9.4%,2146,869,295,75,6,1,1314,9,108,258,27,14
afro,3216,2642,1.22,0.76,2097,574,583,390,1.49,1.20,68.8%,19.2%,2121,1270,584,197,43,3,835,1825,26,498,35,16
Aida,473,518,0.91,0.62,320,-45,57,76,0.75,0.88,64.9%,9.5%,440,207,79,28,6,0,365,2,35,63,7,2
Aleksib,2430,2760,0.88,0.57,1718,-330,325,412,0.79,0.89,72.9%,10.9%,2549,1162,426,107,20,3,1776,34,138,412,58,21
alex,2634,2647,1.00,0.66,1823,-13,382,361,1.06,0.99,72.3%,14.4%,2183,1190,478,134,19,2,2028,45,123,394,47,16
aliStair,1583,1539,1.03,0.63,1098,44,262,253,1.04,1.02,73.3%,15.1%,1402,728,275,77,16,2,344,883,42,301,14,10
apEX,2184,2594,0.84,0.55,1590,-410,321,422,0.76,0.90,80.4%,12.0%,2351,1116,369,91,13,1,1677,20,126,297,61,10
arT,1847,2040,0.91,0.63,1288,-193,421,483,0.87,1.11,69.1%,19.3%,1634,862,316,90,17,3,1164,272,153,224,20,25
ArtFr0st,4117,3001,1.37,0.73,2835,1116,656,292,2.25,1.16,78.8%,16.8%,2834,1875,684,236,34,6,688,2822,77,476,56,16
autimatic,2577,2557,1.01,0.69,1731,20,473,455,1.04,1.10,71.9%,18.7%,2000,1079,490,133,26,3,2037,63,66,376,36,9
Ax1Le,3069,2678,1.15,0.73,2043,391,468,407,1.15,1.06,75.9%,16.0%,2143,1281,543,177,39,3,2462,47,98,411,56,14
b0RUP,5009,5163,0.97,0.65,3477,-154,752,745,1.01,0.99,72.7%,13.8%,4208,2327,831,261,53,5,3940,18,251,691,95,47
b1t,2537,2348,1.08,0.67,1740,189,394,349,1.13,1.04,71.6%,14.6%,2022,1124,459,134,22,1,1925,37,162,379,19,32
birdfromsky,4398,5411,0.81,0.57,3177,-1013,764,1010,0.76,0.94,72.8%,14.1%,4563,2217,735,190,34,1,2984,126,560,571,105,79
blameF,3681,2809,1.31,0.78,2432,872,642,359,1.79,1.22,78.8%,20.3%,2309,1523,639,214,42,14,2939,21,199,465,63,19
Boombl4,2903,3151,0.92,0.63,2002,-248,485,622,0.78,0.97,74.0%,14.7%,2576,1300,536,138,23,5,2051,91,319,404,27,28
br0,5589,5463,1.02,0.67,3829,126,713,779,0.92,0.94,72.8%,11.9%,4484,2473,1017,280,53,6,4101,194,400,825,86,31
brnz4n,4535,4267,1.06,0.70,3003,268,924,847,1.09,1.16,73.5%,19.1%,3478,1857,824,264,52,6,3469,147,233,619,72,10
broky,2980,2455,1.21,0.73,2054,525,353,202,1.75,1.02,73.7%,12.1%,2034,1337,537,155,21,4,963,1433,47,492,41,19
Brollan,2636,2857,0.92,0.63,1803,-221,578,576,1.00,1.13,72.5%,20.1%,2365,1173,457,145,26,2,2087,10,97,407,37,10
buda,2247,2629,0.85,0.56,1618,-382,277,374,0.74,0.86,71.5%,9.4%,2415,1114,398,90,13,3,1757,12,137,318,31,7
Buzz,3625,3705,0.98,0.65,2493,-80,559,636,0.88,0.98,71.9%,13.9%,3076,1641,617,193,39,3,2849,17,148,591,26,12
CacaNito,3392,3309,1.03,0.71,2262,83,545,555,0.98,1.05,70.3%,16.5%,2495,1432,580,203,44,3,2726,25,119,485,42,21
cadiaN,2815,2481,1.13,0.66,1952,334,483,358,1.35,1.09,76.6%,16.1%,2297,1285,498,146,19,4,794,1364,137,459,60,18
Calyx,3035,2808,1.08,0.67,2093,227,374,333,1.12,0.96,70.3%,10.8%,2467,1365,539,166,21,2,2383,23,114,465,52,14
chelo,2080,2099,0.99,0.65,1410,-19,377,382,0.99,1.06,74.8%,16.6%,1800,913,353,117,25,2,1627,51,77,311,17,12
chopper,2259,2326,0.97,0.62,1597,-67,286,379,0.75,0.88,69.6%,10.3%,2060,1066,413,107,9,2,1692,20,178,337,29,13
coldzera,2808,2824,0.99,0.66,1905,-16,372,427,0.87,0.94,73.4%,12.5%,2357,1220,505,145,32,3,2193,64,62,477,11,22
D7,558,535,1.04,0.73,371,23,88,92,0.96,1.04,68.2%,15.5%,389,231,101,32,6,1,418,18,43,74,6,3
danistzz,1474,1365,1.08,0.73,984,109,229,191,1.20,1.08,69.9%,15.1%,1039,612,276,76,18,2,995,150,84,233,11,12
deko,4544,3346,1.36,0.79,3018,1198,559,330,1.69,1.06,73.9%,13.5%,2759,1839,891,234,49,5,1800,1822,164,699,60,16
DemQQ,6024,5906,1.02,0.64,4220,118,851,865,0.98,0.97,72.5%,12.2%,5130,2822,1052,289,54,3,4630,69,315,947,60,33
device,3297,2508,1.31,0.78,2179,789,619,328,1.89,1.27,70.6%,19.5%,2049,1353,584,194,46,2,1007,1630,71,561,25,22
dexter,1688,2068,0.82,0.58,1205,-380,285,332,0.86,0.97,73.7%,14.4%,1690,825,290,80,7,3,1259,27,134,238,27,9
dgt,2968,2401,1.24,0.74,2003,567,383,253,1.51,1.04,76.0%,13.8%,2030,1269,541,159,30,4,2480,11,71,351,58,10
donk,4782,3850,1.24,0.84,3028,932,869,627,1.39,1.24,72.8%,20.4%,2683,1780,848,303,88,9,3874,56,31,779,43,9
drop,2301,2444,0.94,0.59,1622,-143,304,358,0.85,0.90,69.4%,10.6%,2277,1074,434,99,13,2,1820,14,91,336,44,15
dycha,3045,2908,1.05,0.68,2017,137,411,414,0.99,0.97,72.0%,12.6%,2447,1253,547,174,39,4,2337,19,154,485,46,18
electroNic,2506,2553,0.98,0.68,1677,-47,458,540,0.85,1.05,72.3%,17.7%,1994,1050,462,134,25,6,1953,8,172,347,29,9
EliGE,2907,2739,1.06,0.70,2008,168,481,468,1.03,1.06,71.1%,16.0%,2139,1321,509,150,22,6,2324,49,70,433,33,11
EmiliaQAQ,1478,1554,0.95,0.63,1018,-76,217,252,0.86,0.95,70.0%,12.4%,1346,679,241,78,17,3,1119,15,86,233,16,15
exit,4283,3522,1.22,0.66,2993,761,420,358,1.17,0.90,73.1%,8.7%,3488,1988,770,193,34,8,3438,10,150,578,116,42
FalleN,2142,1909,1.12,0.66,1464,233,321,227,1.41,1.05,70.1%,13.1%,1762,935,405,101,21,2,449,1331,51,287,26,12
fame,2042,1846,1.11,0.67,1396,196,341,292,1.17,1.07,75.7%,16.1%,1632,924,329,116,23,4,1689,17,47,264,28,9
FaNg,1922,1967,0.98,0.65,1335,-45,284,282,1.01,0.99,74.6%,14.4%,1620,886,331,99,18,1,1502,48,85,270,19,13
FL1T,2102,1901,1.11,0.69,1436,201,400,379,1.06,1.12,72.2%,18.0%,1592,933,365,116,19,3,1700,17,99,256,35,9
flameZ,3068,2984,1.03,0.68,2092,84,534,530,1.01,1.06,70.2%,16.2%,2419,1351,535,179,25,2,2390,11,166,450,45,20
floppy,2726,2752,0.99,0.63,1884,-26,332,383,0.87,0.90,73.5%,11.1%,2454,1230,496,131,24,3,2162,8,96,435,26,7
Forester,3647,3459,1.05,0.69,2528,188,603,559,1.08,1.06,77.9%,16.7%,2788,1655,679,148,40,6,2987,3,96,516,47,10
frozen,2443,1845,1.32,0.74,1602,598,291,218,1.33,1.00,77.7%,12.9%,1693,969,461,142,24,6,1999,10,29,367,42,13
Goofy,5427,5246,1.03,0.68,3719,181,664,707,0.94,0.93,74.5%,11.6%,4320,2404,992,259,58,6,4115,25,290,939,63,18
Grim,3135,2968,1.06,0.72,2051,167,487,536,0.91,1.02,71.5%,15.7%,2328,1257,554,193,44,3,2489,36,93,491,32,4
hades,5758,4734,1.22,0.73,3919,1024,934,542,1.72,1.15,75.8%,17.3%,3923,2532,1014,300,67,6,1755,3034,72,866,34,19
hallzerk,2729,2423,1.13,0.68,1842,306,399,287,1.39,1.05,72.9%,14.2%,2157,1183,473,147,36,3,863,1305,67,460,25,27
hampus,1066,1208,0.88,0.60,744,-142,139,199,0.70,0.87,74.8%,12.2%,1031,492,190,55,6,1,849,12,31,156,19,4
headtr1ck,2821,2276,1.24,0.70,1932,545,355,209,1.70,1.02,75.5%,13.3%,2074,1255,494,156,25,2,897,1400,56,440,29,8
HEAP,804,859,0.94,0.63,564,-55,104,114,0.91,0.93,67.3%,11.6%,710,381,135,39,9,0,620,16,12,146,11,6
HexT,3220,3268,0.99,0.65,2196,-48,446,498,0.90,0.95,72.4%,12.9%,2728,1402,602,157,32,3,2473,18,214,475,44,19
HObbit,2985,2916,1.02,0.67,2069,69,547,503,1.09,1.09,73.7%,17.0%,2409,1355,538,152,22,2,2265,26,247,401,51,17
HooXi,1954,2560,0.76,0.52,1431,-606,299,504,0.59,0.84,79.6%,11.4%,2356,1016,321,80,14,0,1291,77,260,289,36,15
HUASOPEEK,705,724,0.97,0.69,477,-19,103,101,1.02,1.00,72.8%,15.8%,550,306,123,40,7,1,515,29,33,118,11,0
